date,algo_id,total_pnl,trades_count,wins,losses
2024-09-18 00:00:00,algo2,3800.0,1,1,0
2024-04-16 00:00:00,algo2,3800.0,1,1,0
2024-07-15 00:00:00,algo2,3800.0,1,1,0
2024-08-21 00:00:00,algo2,3800.0,1,1,0
2024-01-01 00:00:00,algo2,3800.0,1,1,0
2024-05-15 00:00:00,algo2,3800.0,1,1,0
2024-06-13 00:00:00,algo2,3800.0,1,1,0
2024-09-03 00:00:00,algo2,3800.0,1,1,0
2024-01-09 00:00:00,algo2,3800.0,1,1,0
2024-12-12 00:00:00,algo2,3800.0,1,1,0
2024-08-23 00:00:00,algo2,3800.0,1,1,0
2024-03-18 00:00:00,algo2,3800.0,1,1,0
2024-05-08 00:00:00,algo2,3800.0,1,1,0
2025-01-22 00:00:00,algo2,3800.0,1,1,0
2024-07-25 00:00:00,algo2,-10200.0,1,0,1
2024-03-19 00:00:00,algo2,3800.0,1,1,0
2024-07-03 00:00:00,algo2,3800.0,1,1,0
2024-03-07 00:00:00,algo2,3800.0,1,1,0
2024-08-29 00:00:00,algo2,3800.0,1,1,0
2024-06-25 00:00:00,algo2,3800.0,1,1,0
2024-08-30 00:00:00,algo2,3800.0,1,1,0
2024-06-18 00:00:00,algo2,3800.0,1,1,0
2024-09-13 00:00:00,algo2,3800.0,1,1,0
2025-02-20 00:00:00,algo2,3800.0,1,1,0
2025-02-27 00:00:00,algo2,3800.0,1,1,0
2024-01-15 00:00:00,algo2,3800.0,1,1,0
2024-09-04 00:00:00,algo2,3800.0,1,1,0
2024-09-23 00:00:00,algo2,3800.0,1,1,0
2025-03-11 00:00:00,algo2,3800.0,1,1,0
2024-04-30 00:00:00,algo2,3800.0,1,1,0
2025-02-25 00:00:00,algo2,3800.0,1,1,0
2024-03-26 00:00:00,algo2,3800.0,1,1,0
2024-09-10 00:00:00,algo2,3800.0,1,1,0
2024-06-24 00:00:00,algo2,3800.0,1,1,0
2024-12-19 00:00:00,algo2,3800.0,1,1,0
2024-03-21 00:00:00,algo2,3800.0,1,1,0
2024-08-14 00:00:00,algo2,3800.0,1,1,0
2025-01-15 00:00:00,algo2,3800.0,1,1,0
2024-09-19 00:00:00,algo2,3800.0,1,1,0
2024-05-06 00:00:00,algo2,3800.0,1,1,0
2024-02-07 00:00:00,algo2,3800.0,1,1,0
2024-08-28 00:00:00,algo2,3800.0,1,1,0
2024-07-29 00:00:00,algo2,3800.0,1,1,0
2025-05-06 00:00:00,algo2,3800.0,1,1,0
2024-12-26 00:00:00,algo2,3800.0,1,1,0
2025-02-21 00:00:00,algo2,3800.0,1,1,0
2025-05-14 00:00:00,algo2,3800.0,1,1,0
2024-04-24 00:00:00,algo2,3800.0,1,1,0
2025-03-07 00:00:00,algo2,3800.0,1,1,0
2024-04-15 00:00:00,algo2,3800.0,1,1,0
2024-04-09 00:00:00,algo2,3800.0,1,1,0
2024-12-11 00:00:00,algo2,3800.0,1,1,0
2024-04-08 00:00:00,algo2,3800.0,1,1,0
2024-05-14 00:00:00,algo2,3800.0,1,1,0
